iteration,theta,residual_norm,grad_norm,step_norm,accepted_step,converged
0,0.0004317936631570227,0.029386856353037245,0.020508152350148807,0.042109464267545735,1.0,False
1,0.00026889220223963624,0.023190179052333178,3.311396218849036e-05,0.25251799553174586,0.015625,False
2,4.3287691088266414e-05,0.009304589307246872,1.9169483790744305e-05,0.14080303971580024,0.03125,False
3,2.720721825481256e-05,0.007376614162990031,7.247070897339935e-05,0.09384618997740737,0.125,False
4,4.4030768147323933e-07,0.0009384110841984331,4.441747479702587e-06,0.024771288692220242,0.125,False
5,3.822825755701867e-07,0.0008743941623434899,3.7226956001363245e-06,0.012829137449059674,0.0625,False
6,1.6641640421774936e-07,0.0005769166390697175,5.736214183215164e-05,0.0029011510129971878,0.5,False
7,1.971730957986785e-09,6.279698970471093e-05,2.7644699572393024e-05,0.00014264802198925175,1.0,False
8,3.240156333339676e-12,2.545645825066667e-06,1.0305575624092373e-06,6.28816138723966e-06,1.0,False
9,7.728285483274124e-18,3.9314845753923855e-09,1.5857478567733262e-09,0.0,0.0,True
